station,QICode,alpha,beta,CC,usgsdarea,model_basin_area,clay_pct,sand_pct,silt_pct,bedrock,density,frags,imperv,population,precip,rr,relief,temp
1064118,6,12.1327,0.522462,0.972502,1494.42,1468.23,9.57743,54.0488,36.3065,1107.45,1086.06,9.09452,2.33962,24.837,96.377,0.00517608,55.8513,6.64249
1064300,0,2.82048,0.525439,0.801926,28.2309,27.1563,8.91921,54.7985,36.4355,1469.94,785.525,16.1934,0.000452184,0.129088,128.818,0.0829505,395.503,2.22611
1064400,0,2.36379,0.655076,0.968203,12.1211,14.0585,10.5938,53.9687,35.4531,1448.18,950.74,14.2813,1.93343,0,110.596,0.0294085,176.593,4.71582
1064500,0,6.03814,0.643962,0.926632,997.145,940.47,8.98623,55.3226,35.7257,1508.48,931.28,13.3483,1.29471,10.7547,112.291,0.0291208,248.481,4.28867
1064801,0,5.30067,0.381046,0.827323,175.083,173.226,8.53429,56.8766,34.5841,1463.31,857.096,13.7992,0.0037559,0.177662,114.715,0.0284113,217.977,3.95141
1065500,5,3.18642,0.801401,0.950085,1170.67,1146.9,8.38378,55.8965,35.6843,1389.76,1057.51,11.3703,1.18772,7.6713,103.321,0.0155693,155.613,5.87237
1066000,5,7.028,0.685578,0.951265,3348.85,3351.02,8.77556,55.3212,35.8831,1413.47,1026.2,11.6618,1.1839,8.35231,104.235,0.0193449,188.803,5.48731
1067851,0,3.86809,0.912182,0.942857,3.3152,4.42958,13.0501,47.8999,39,1079.12,1183.3,4,2.94083,26.4022,96.2833,0.0025375,10.4565,7.78084
1067853,0,21.7817,1.21054,0.904762,3.6778,4.42958,13.0501,47.8999,39,1079.12,1183.3,4,2.94083,26.4022,96.2833,0.0025375,10.4565,7.78084
1072100,6,3.34096,0.786828,0.975345,279.719,277.55,8.14789,54.9704,36.8397,1163.34,1100.29,9.71437,1.74052,16.7847,99.5209,0.00795358,65.4773,6.73966
1072800,5,5.47119,0.63685,0.95925,221.962,245.577,8.18645,54.9047,36.8613,1168.58,1096,9.89181,1.60844,13.5125,99.7738,0.00788197,62.7343,6.69787
1072870,5,4.58115,0.61636,0.930841,190.623,146.902,7.17207,58.885,33.9464,950.911,1110.67,7.84828,2.18023,22.5939,94.7127,0.00680796,61.32,7.18159
1072880,6,6.88593,0.527588,0.919044,461.018,485.012,8.00108,57.3386,34.6902,1027.64,1151.99,6.5564,4.89413,57.2926,94.6883,0.00561545,57.5249,7.33582
1073000,0,3.12219,0.70884,0.946649,31.3389,31.1432,7.67843,57.2794,35.1636,917.697,1130.66,7.39247,2.16006,13.6878,95.3462,0.0072227,64.7033,7.18171
1073500,0,4.96877,0.701475,0.953343,473.968,488.247,7.3972,59.3574,33.3241,934.003,1137.19,6.61279,3.04048,33.9955,92.0051,0.00395988,51.7653,7.70788
1073587,0,3.79268,0.508577,0.968152,164.464,162.812,7.1278,60.9075,32.0992,984.02,1169.03,5.4258,4.15827,49.7904,91.4467,0.00270442,25.3469,8.13262
1073750,0,1.20431,0.527445,0.979949,5.957,6.2572,10.1428,53.7501,36.0714,1030.57,1167.32,5.89277,8.10642,98.1406,93.7381,0.00369905,12.0672,8.37351
1073785,0,3.433,0.607243,0.960727,36.5188,34.8511,11.3838,55.7452,33.012,1168.92,1237.17,5.27604,15.384,386.25,94.5301,0.00113394,8.41368,8.46422
1073810,0,3.24035,0.70742,0.907792,13.9341,16.0903,9.51379,59.4167,31.264,1122.98,1186.58,6.27785,8.74378,258.689,94.9456,0.00113727,9.10849,8.4728
1073822,0,1.52022,0.540385,0.825979,15.8507,16.1214,10.9585,56.8194,32.1944,1074.62,1195.89,4.04164,15.3509,164.285,95.2454,0.00157166,11.1487,8.68924
1073848,0,1.93172,0.583473,0.938616,9.3499,9.85159,10.0001,57.5908,32.2954,1029.46,1176.66,4.13629,14.4369,92.0048,95.1705,0.0017856,9.76254,8.67538
1074520,0,6.63165,0.371046,0.779873,297.849,298.482,8.00234,57.6422,34.3547,1542.82,805.304,13.9064,0.397408,3.82452,115.738,0.0334784,225.953,3.24005
1075000,0,6.56329,0.495451,0.774022,499.868,534.937,7.85524,57.0407,35.0868,1563.71,846.507,13.5944,0.695614,4.56923,110.121,0.0308315,225.693,3.65725
1075800,0,1.9915,0.623069,0.925719,7.6146,8.79523,7.95006,53.9748,38.1751,1564.18,908.157,12.8749,0.811367,0.800121,98.3281,0.0827246,263.625,4.29259
1076000,0,4.92029,0.587421,0.900157,370.368,385.019,7.12916,55.648,37.1973,1321.49,964.26,12.0139,0.476329,3.45197,91.9291,0.026713,186.128,4.95772
1076500,0,10.1521,0.537619,0.871285,1610.97,1604,7.76743,55.6507,36.5628,1466.06,936.9,12.6715,0.924702,8.41286,100.261,0.0273022,213.768,4.54834
1077000,6,4.45701,0.215026,0.74156,149.183,159.378,8.28182,56.3235,35.3891,1419.15,900.578,13.1926,0.911188,5.21389,108.145,0.0316068,210.324,4.26036
1078000,0,4.06396,0.558718,0.925609,222.221,234.757,7.52462,54.2667,38.2087,1197.28,1031.49,11.9743,0.870935,4.96686,91.1222,0.0179096,149.801,5.71112
1079602,0,2.09975,0.519258,0.980684,16.5241,18.5805,13.0766,49.2038,37.5569,1014.1,934.676,15.155,1.44784,4.47517,91.2916,0.000187165,2.09152,6.47819
1079900,0,3.38841,0.725331,0.952972,18.104,18.5805,13.0766,49.2038,37.5569,1014.1,934.676,15.155,1.44784,4.47517,91.2916,0.000187165,2.09152,6.47819
1080500,6,27.1008,0.10632,0.036273,940.166,954.28,9.81567,53.6652,36.4809,1203.62,1051.99,12.1302,2.26556,18.4159,95.7655,0.0122329,98.7617,6.26733
1081000,6,5.86924,0.447376,0.913744,1219.88,1257.47,9.64098,53.3236,37.0245,1204.74,1074.97,11.5165,2.90109,30.5035,94.2822,0.0111967,95.4626,6.2852
1081500,6,18.5609,0.512359,0.97121,3903.11,3955.48,8.56753,54.0821,37.3378,1326.6,1016.7,12.0987,1.72512,17.518,95.8095,0.0193566,160.978,5.46293
1082000,5,3.51516,0.541667,0.83666,176.378,163.213,8.17585,55.5276,36.2911,1361.05,1126.6,9.39145,2.32518,35.8349,95.5375,0.0115628,99.2204,6.76464
1085500,0,5.55993,0.587986,0.986733,1105.92,1055.51,7.64808,56.1355,36.2081,1392.69,1095.47,10.0443,2.27237,22.5155,93.6939,0.0101555,99.1336,6.74263
1085800,0,2.70432,0.670756,0.824411,14.8924,15.9788,8.50024,53.5413,37.9862,1072.94,1032.07,10.5692,3.23104,20.1717,93.2179,0.00768248,46.7134,5.78702
1086000,0,7.98639,0.394954,0.879968,378.138,371.254,7.69198,54.7078,37.5726,1269.82,1096.24,10.4581,1.45274,17.6814,90.2926,0.0135159,119.753,6.30567
1089100,0,4.37037,0.585578,0.915252,212.12,214.284,8.4882,53.8599,37.6529,1253.24,1168.97,7.79535,2.38196,22.8783,89.8906,0.0069996,50.4528,6.73468
1092000,6,35.2649,0.429995,0.668945,8008.24,7957.25,8.14176,55.0086,36.8374,1298.93,1071.27,10.4809,2.51984,31.8631,93.5203,0.0141638,129.25,6.17938
1093800,0,2.79299,0.635623,0.924316,9.324,9.8603,8.43175,55.6136,35.8865,1168.97,1074.05,11.8182,1.4003,5.8181,100.72,0.0194177,81.8016,6.44149
1093852,5,5.16901,0.464734,0.960396,266.769,271.752,7.97875,56.4393,35.5721,1169.52,1108.6,9.64854,2.12896,22.3932,96.927,0.00988989,85.3167,7.02139
1093875,0,3.87947,0.516009,0.980746,308.209,312.975,7.87636,56.7929,35.3286,1156.29,1113.82,9.31612,2.42749,25.8934,96.4631,0.00917213,84.5929,7.09345
1094000,0,6.26885,0.49386,0.749571,442.888,444.742,7.65806,57.7441,34.5988,1069.63,1129.03,8.28164,3.77393,50.8634,94.8272,0.00793454,85.9649,7.33488
1094400,5,4.25421,0.480962,0.84465,166.277,162.941,8.20468,55.6141,36.1992,1098.86,1154.69,8.66686,7.3821,130.54,96.6731,0.00509529,43.8764,7.19339
1094500,5,3.34751,0.683317,0.858015,284.899,289.92,9.24369,54.1129,36.7032,1133.12,1178.75,8.2069,9.8485,208.277,96.5429,0.00578013,53.6091,7.45796
1095220,0,4.5434,0.553812,0.920635,81.8436,82.0765,7.57148,57.3133,35.0988,1092.89,1127.84,9.07369,3.89882,21.4975,98.2373,0.00829735,70.4791,7.62835
1095375,0,4.19894,0.455684,0.905308,119.916,138.182,8.61145,55.3149,36.0688,1186.39,1152.17,8.22852,7.07537,85.8641,98.3824,0.00478766,34.5944,7.57305
1095505,6,3.32607,0.581661,0.921758,323.748,324.184,9.366,53.9974,36.6873,1133.49,1184.71,7.95629,9.53681,194.884,96.4976,0.00562463,54.2391,7.54585
1096000,0,4.56452,0.445343,0.896841,170.68,173.458,6.90527,59.3631,33.6785,942.124,1155.75,7.62664,3.29583,41.3404,94.8509,0.00531076,57.7807,7.68858
1096500,6,4.40674,0.601468,0.929591,1126.64,1146.93,8.73794,55.2874,36.0071,1067.11,1177.49,7.31368,7.23393,116.514,96.0604,0.00487095,58.2252,7.88327
1096503,0,5.06553,0.44748,0.850024,154.363,154.457,6.32585,61.0183,32.6443,808.31,1150.83,6.71771,3.80391,39.8911,92.8934,0.00575695,46.268,7.96632
109650657,0,NaN,NaN,NaN,5.5426,6.28276,7.46429,58.2858,34.1071,794.429,1149.43,6.60708,4.903,22.4272,91.5684,0.00296218,17.6018,8.09137
10965852,0,2.64828,0.575477,0.93784,123.801,124.567,8.30359,55.9635,35.8372,968.258,1194.62,5.9767,9.81603,211.991,91.1048,0.00254415,20.6303,8.18994
10965995,6,2.98474,0.466375,0.85699,17.1716,17.1934,10.4339,51.9739,37.658,1218.62,1247.98,5.56618,10.9217,462.711,97.4783,0.00488568,28.245,8.72771
1097000,5,3.99661,0.457134,0.886199,300.439,302.596,9.64836,53.2778,37.1291,1117.45,1227.36,5.86095,12.5987,202.622,95.9698,0.00404534,31.9444,8.62884
1097300,0,3.27887,0.5842,0.871448,33.1518,34.258,7.74991,57.4016,34.9077,1024.71,1195.75,5.19078,11.8537,199.85,93.3914,0.00427008,19.2563,8.68438
1097380,0,2.644,0.606741,0.956163,124.319,109.845,8.18058,55.7782,36.0596,1050.82,1207.87,5.40786,11.731,175.238,92.7384,0.00207797,19.2744,8.64658
1097480,0,4.03936,0.319883,0.844679,90.9086,93.2135,8.75929,53.5781,37.7184,1187.77,1204.95,6.8304,10.738,239.195,97.4165,0.00374721,30.906,8.80818
1098530,5,4.39212,0.678009,0.957824,274.539,297.516,8.90142,54.6256,36.5262,1212.79,1218.83,6.26331,14.0596,343.569,96.0828,0.00338421,26.9095,8.91273
1099500,5,7.47793,0.453075,0.962159,1036,996.79,8.85833,55.2618,35.943,1148.57,1222.79,5.70969,13.2899,277.732,94.8551,0.00301882,27.9587,8.84975
1100000,6,101.312,0.250953,0.950659,12004.6,11943.5,8.28252,55.3476,36.3758,1219.29,1111.23,9.12712,4.82841,78.7529,93.6061,0.0108345,105.341,6.85137
1100505,6,2.50335,0.640291,0.966165,42.7348,44.7911,7.72494,57.1601,35.255,938.31,1166.01,6.37006,6.40218,63.759,92.0695,0.00388097,26.7137,8.22652
1100568,0,2.48786,0.324669,0.495113,5.5167,6.32692,12.8213,49.2858,37.8929,1293.99,1291.64,7.53576,62.7454,1605.44,95.3424,0.00148871,10.1195,9.45416
1100600,0,2.82139,0.48076,0.920398,94.5346,93.7346,10.0414,55.7363,34.2776,1224,1284.23,5.3558,25.7161,599.227,93.1518,0.00203524,13.3311,9.15506
1100627,0,7.07338,0.511938,0.838228,188.551,194.501,9.87992,56.4354,33.7656,1224.12,1281.37,5.69408,21.2952,470.009,92.638,0.00222262,14.9218,9.14147
1101000,0,2.16216,0.452918,0.87761,55.1667,43.128,4.55199,63.3126,32.2343,1124.96,1163.82,7.55228,7.58976,86.8737,95.4726,0.00206545,19.6732,9.12795
1101500,5,3.49791,0.639607,0.910099,115.254,117.047,7.65829,59.9555,32.4112,1195.56,1249.57,6.04585,19.3748,266.008,92.8236,0.0015378,16.4583,9.25214
1102000,5,3.76031,0.60521,0.907963,323.748,315.826,6.91691,60.0782,33.0227,1152.21,1203.44,6.36993,14.8093,185.501,94.3195,0.00162647,17.0223,9.25594
1102029,0,3.11221,0.860857,0.903633,1.4245,2.69681,8.83327,58.75,32,1068.76,1061.25,9.6667,4.27478,157.667,98.5275,0.00220528,7.90605,9.16872
11020308,0,1.11564,0.485498,0.948529,1.3727,2.69811,10.25,57.25,32.3333,1241.58,1114.66,7.41672,2.3092,54.6687,98.5,0.00200527,6.06794,9.20625
1102345,0,2.9158,0.519706,0.945049,53.8718,49.5391,9.08191,59.2768,31.5821,1245,1276.68,5.41364,22.6419,336.88,92.3663,0.001575,11.9339,9.26667
1102500,5,4.64788,0.485013,0.774537,63.9727,69.4227,12.5229,50.0645,37.5003,1323.77,1311.57,5.45157,32.7978,870.199,92.7231,0.00201925,13.5306,9.31819
1103025,0,2.24345,0.14286,0.395863,21.6523,23.495,14.6634,50.3364,34.9425,1512.18,1351.11,6.87491,97.2706,8561.82,93.4336,0.00297748,15.7421,9.78838
1103220,0,0.964214,0.50259,0.917712,2.9785,3.63074,9.81244,53.8126,36.5,1269.93,1286.62,7.18751,12.9234,347.494,100.375,0.00191335,8.95819,9.19114
1103280,0,3.63428,0.540277,0.904653,170.162,76.9272,8.92005,53.477,37.6441,1179.06,1207.03,6.7504,10.433,254.679,97.5154,0.00394905,29.0362,8.7833
1103455,0,1.78317,0.476527,0.695672,9.6348,10.8518,10.3125,53.1876,36.8124,1242.92,1266.48,5.89566,28.1031,761.555,95.6944,0.00381593,13.0458,9.32466
1103500,5,8.27469,0.376053,0.878467,473.968,456.589,10.2546,53.524,36.2798,1232.19,1260.09,6.01979,33.0033,1386.34,95.3269,0.00231952,18.3521,9.37573
1104200,6,5.32929,0.626714,0.733007,546.487,451.155,10.2928,53.4721,36.2928,1232.83,1260.95,6.03057,33.2891,1401.73,95.3074,0.00232904,18.3359,9.37587
1104405,0,4.48,0.776973,0.852816,5.5944,6.3193,5.64283,59.6431,34.7856,960.749,1167.96,6.03567,11.1236,134.706,94.5833,0.00249671,8.24022,9.09554
1104415,0,1.54162,0.619154,0.94654,1.0619,1.80461,11.625,50.25,37.75,1170.38,1264.88,5.5,17.8272,571,94.75,0.00512199,11.2242,9.13646
1104420,0,2.67429,0.680413,0.701772,1.8907,2.70763,10.8334,50.8333,38.0833,1144.17,1264.42,5.74997,19.9846,361.343,95.007,0.00180148,5.45645,9.12986
1104430,6,3.05824,0.734459,0.901786,17.7673,18.0553,12.4877,48.2498,39.1501,1284.5,1273.59,6.4125,35.1974,1027.74,94.6666,0.00195674,23.5061,9.27106
1104440,0,2.20089,0.497157,0.667717,21.9372,20.8135,11.4017,52.6419,36.1303,1284.6,1274.11,5.00021,13.7632,715.523,96.1405,0.00298083,18.6163,9.21847
